AWP | BOOM (Minimal Wear)
Desert Eagle | Crimson Web (Battle-Scarred)
Glock-18 | Water Elemental (Field-Tested)
StatTrak™ USP-S | Torque (Factory New)
M4A1-S | Boreal Forest (Minimal Wear)
StatTrak™ P250 | Iron Clad (Battle-Scarred)
AWP | Safari Mesh (Field-Tested)
AK-47 | Elite Build (Field-Tested)
Five-SeveN | Capillary (Field-Tested)
Desert Eagle | Night (Field-Tested)
CZ75-Auto | Tigris (Battle-Scarred)
M4A1-S | Nitro (Battle-Scarred)
AK-47 | Emerald Pinstripe (Field-Tested)
Glock-18 | Wasteland Rebel (Minimal Wear)
StatTrak™ AWP | Phobos (Factory New)
AK-47 | Aquamarine Revenge (Field-Tested)
Glock-18 | Ironwork (Field-Tested)
AWP | Electric Hive (Factory New)
★ M9 Bayonet | Doppler (Factory New)
M4A1-S | Nitro (Factory New)
M4A1-S | Decimator (Factory New)
M4A1-S | Decimator (Field-Tested)
AWP | Pit Viper (Field-Tested)
P2000 | Fire Elemental (Well-Worn)
USP-S | Cyrex (Battle-Scarred)
StatTrak™ Glock-18 | Blue Fissure (Minimal Wear)
Desert Eagle | Crimson Web (Field-Tested)
MAC-10 | Last Dive (Factory New)
AK-47 | Black Laminate (Field-Tested)
AK-47 | Safari Mesh (Field-Tested)
AK-47 | Neon Revolution (Minimal Wear)
StatTrak™ M4A1-S | Flashback (Field-Tested)
M4A1-S | Guardian (Field-Tested)
AWP | Electric Hive (Field-Tested)
AK-47 | Elite Build (Minimal Wear)
M4A1-S | Blood Tiger (Field-Tested)
M4A1-S | Guardian (Minimal Wear)
M4A1-S | VariCamo (Field-Tested)
AK-47 | Fire Serpent (Battle-Scarred)
M4A1-S | Atomic Alloy (Field-Tested)
AWP | Pit Viper (Field-Tested)
USP-S | Guardian (Field-Tested)
AWP | Worm God (Field-Tested)
Souvenir CZ75-Auto | Nitro (Field-Tested)
M4A1-S | Bright Water (Minimal Wear)
Glock-18 | Ironwork (Minimal Wear)

P250 | Iron Clad (Battle-Scarred)
StatTrak™ Desert Eagle | Bronze Deco (Minimal Wear)
Glock-18 | Candy Apple (Factory New)
P250 | Supernova (Minimal Wear)
StatTrak™ Glock-18 | Royal Legion (Minimal Wear)
StatTrak™ Tec-9 | Avalanche (Field-Tested)
StatTrak™ PP-Bizon | Water Sigil (Factory New)
M4A1-S | Flashback (Minimal Wear)
M4A1-S | Flashback (Minimal Wear)
AK-47 | Emerald Pinstripe (Battle-Scarred)
AK-47 | Safari Mesh (Battle-Scarred)
M4A1-S | Mecha Industries (Well-Worn)
P250 | Muertos (Field-Tested)
Five-SeveN | Capillary (Field-Tested)
AWP | Safari Mesh (Battle-Scarred)
M4A1-S | VariCamo (Field-Tested)
USP-S | Torque (Field-Tested)
M4A1-S | Mecha Industries (Battle-Scarred)
AWP | Pit Viper (Field-Tested)
M4A4 | Desolate Space (Field-Tested)
AK-47 | Blue Laminate (Factory New)
StatTrak™ M4A1-S | Flashback (Battle-Scarred)
StatTrak™ P250 | Ripple (Well-Worn)
USP-S | Royal Blue (Field-Tested)
M4A1-S | Cyrex (Field-Tested)
Desert Eagle | Crimson Web (Well-Worn)
AWP | Sun in Leo (Minimal Wear)
Glock-18 | Steel Disruption (Field-Tested)
StatTrak™ AK-47 | Case Hardened (Factory New)
USP-S | Guardian (Minimal Wear)
Tec-9 | Nuclear Threat (Well-Worn)
P90 | Asiimov (Battle-Scarred)
AK-47 | Blue Laminate (Minimal Wear)
StatTrak™ Desert Eagle | Corinthian (Field-Tested)
AK-47 | Emerald Pinstripe (Field-Tested)

M4A1-S | Hyper Beast (Field-Tested)
Desert Eagle | Crimson Web (Field-Tested)
StatTrak™ AK-47 | Wasteland Rebel (Field-Tested)
M4A1-S | Chantico's Fire (Well-Worn)

AK-47 | Safari Mesh (Battle-Scarred)
AK-47 | Aquamarine Revenge (Field-Tested)


AWP | Pit Viper (Minimal Wear)
AWP | Phobos (Minimal Wear)
AK-47 | Elite Build (Factory New)
AK-47 | Redline (Field-Tested)
AK-47 | Jungle Spray (Minimal Wear)
Desert Eagle | Corinthian (Minimal Wear)
AWP | Graphite (Minimal Wear)
StatTrak™ AWP | Phobos (Minimal Wear)
Desert Eagle | Urban Rubble (Factory New)
AK-47 | Blue Laminate (Minimal Wear)
USP-S | Royal Blue (Minimal Wear)
AK-47 | Cartel (Field-Tested)
AK-47 | Blue Laminate (Minimal Wear)
Desert Eagle | Directive (Well-Worn)
M4A4 | The Battlestar (Field-Tested)
Glock-18 | Candy Apple (Field-Tested)
AWP | Pink DDPAT (Field-Tested)
AK-47 | Cartel (Field-Tested)
Tec-9 | Terrace (Factory New)
AWP | Fever Dream (Minimal Wear)
StatTrak™ Desert Eagle | Bronze Deco (Field-Tested)
AK-47 | Cartel (Minimal Wear)
StatTrak™ AK-47 | Elite Build (Battle-Scarred)
MP7 | Anodized Navy (Factory New)
M4A1-S | Basilisk (Minimal Wear)
USP-S | Cyrex (Minimal Wear)
AK-47 | Aquamarine Revenge (Factory New)
M4A4 | Buzz Kill (Battle-Scarred)
StatTrak™ SCAR-20 | Blueprint (Field-Tested)
M4A1-S | Hyper Beast (Well-Worn)
M4A4 | 龍王 (Dragon King) (Minimal Wear)

★ StatTrak™ Shadow Daggers | Boreal Forest (Minimal Wear)
USP-S | Royal Blue (Well-Worn)
AK-47 | Predator (Minimal Wear)
M4A4 | Evil Daimyo (Minimal Wear)

M4A1-S | Atomic Alloy (Field-Tested)
Desert Eagle | Hand Cannon (Factory New)
AK-47 | Point Disarray (Field-Tested)
AWP | Phobos (Field-Tested)
Desert Eagle | Conspiracy (Factory New)
AWP | Electric Hive (Minimal Wear)
AK-47 | Cartel (Well-Worn)
AWP | Safari Mesh (Field-Tested)
StatTrak™ M4A4 | Evil Daimyo (Minimal Wear)
P250 | Undertow (Field-Tested)
AK-47 | Safari Mesh (Field-Tested)
M4A1-S | Cyrex (Field-Tested)
USP-S | Cyrex (Factory New)
M4A1-S | Flashback (Battle-Scarred)
Glock-18 | Fade (Factory New)
AWP | Pit Viper (Field-Tested)
USP-S | Caiman (Minimal Wear)
AWP | Phobos (Factory New)
StatTrak™ AK-47 | Redline (Well-Worn)
AK-47 | Fuel Injector (Minimal Wear)
M4A1-S | VariCamo (Minimal Wear)
AK-47 | Jungle Spray (Minimal Wear)
AWP | Worm God (Minimal Wear)
Tec-9 | Isaac (Well-Worn)
AWP | Pit Viper (Battle-Scarred)
AWP | Redline (Minimal Wear)
PP-Bizon | Jungle Slipstream (Field-Tested)

M4A1-S | Mecha Industries (Well-Worn)
AK-47 | Cartel (Field-Tested)
AWP | Safari Mesh (Well-Worn)
M4A1-S | Decimator (Battle-Scarred)
P2000 | Turf (Well-Worn)
StatTrak™ M4A4 | Faded Zebra (Field-Tested)
P2000 | Turf (Minimal Wear)
Desert Eagle | Conspiracy (Factory New)
Glock-18 | Ironwork (Minimal Wear)
AWP | Pit Viper (Field-Tested)
StatTrak™ M4A1-S | Basilisk (Field-Tested)
PP-Bizon | Osiris (Minimal Wear)
AK-47 | Blue Laminate (Minimal Wear)
AWP | Phobos (Minimal Wear)
AK-47 | Elite Build (Minimal Wear)
Desert Eagle | Directive (Minimal Wear)
UMP-45 | Grand Prix (Field-Tested)
UMP-45 | Riot (Factory New)
USP-S | Guardian (Minimal Wear)
AWP | Snake Camo (Minimal Wear)
StatTrak™ AWP | Redline (Field-Tested)
MAC-10 | Indigo (Minimal Wear)
StatTrak™ AK-47 | Elite Build (Minimal Wear)
StatTrak™ FAMAS | Valence (Well-Worn)
StatTrak™ SSG 08 | Blood in the Water (Minimal Wear)
StatTrak™ AK-47 | Point Disarray (Field-Tested)
M4A1-S | Decimator (Battle-Scarred)
Glock-18 | Bunsen Burner (Minimal Wear)
M4A1-S | Nitro (Battle-Scarred)
StatTrak™ UMP-45 | Delusion (Field-Tested)
Glock-18 | Night (Minimal Wear)
StatTrak™ M4A4 | Evil Daimyo (Field-Tested)
StatTrak™ P2000 | Imperial (Minimal Wear)
P2000 | Imperial Dragon (Battle-Scarred)
StatTrak™ P2000 | Corticera (Field-Tested)
StatTrak™ AK-47 | Bloodsport (Factory New)
M4A1-S | Flashback (Minimal Wear)
AK-47 | Blue Laminate (Field-Tested)
AWP | Worm God (Minimal Wear)
AK-47 | Blue Laminate (Minimal Wear)
StatTrak™ USP-S | Caiman (Field-Tested)
Five-SeveN | Fowl Play (Factory New)

AWP | Phobos (Minimal Wear)
M4A1-S | Flashback (Minimal Wear)
AWP | Pit Viper (Minimal Wear)
M4A4 | Desert-Strike (Minimal Wear)
AK-47 | Point Disarray (Minimal Wear)
AK-47 | Redline (Battle-Scarred)
USP-S | Guardian (Minimal Wear)
M4A1-S | Guardian (Well-Worn)
Five-SeveN | Silver Quartz (Minimal Wear)
Desert Eagle | Night (Minimal Wear)

AWP | Worm God (Factory New)
Desert Eagle | Cobalt Disruption (Factory New)
M4A1-S | VariCamo (Factory New)
StatTrak™ Desert Eagle | Corinthian (Field-Tested)

StatTrak™ R8 Revolver | Crimson Web (Minimal Wear)
M4A1-S | Flashback (Factory New)
StatTrak™ AK-47 | Elite Build (Field-Tested)
USP-S | Cyrex (Minimal Wear)
M4A4 | Desert-Strike (Minimal Wear)
Nova | Bloomstick (Minimal Wear)
AWP | Pit Viper (Battle-Scarred)
AK-47 | Black Laminate (Minimal Wear)
P90 | Glacier Mesh (Minimal Wear)
Desert Eagle | Urban DDPAT (Minimal Wear)
Desert Eagle | Meteorite (Minimal Wear)
AK-47 | Frontside Misty (Field-Tested)
StatTrak™ AUG | Ricochet (Minimal Wear)
M4A1-S | Decimator (Field-Tested)
P90 | Elite Build (Minimal Wear)
StatTrak™ Tec-9 | Jambiya (Field-Tested)
MP9 | Storm (Field-Tested)
AWP | Safari Mesh (Factory New)
SG 553 | Aerial (Well-Worn)
StatTrak™ USP-S | Torque (Field-Tested)
USP-S | Guardian (Factory New)
AWP | Fever Dream (Battle-Scarred)
Sawed-Off | Zander (Field-Tested)
AK-47 | Redline (Field-Tested)
Glock-18 | Brass (Field-Tested)
AWP | Pit Viper (Well-Worn)
M4A1-S | Chantico's Fire (Well-Worn)
AWP | Phobos (Minimal Wear)
AWP | Worm God (Minimal Wear)
M4A1-S | Dark Water (Minimal Wear)
Desert Eagle | Hypnotic (Factory New)
AWP | Elite Build (Field-Tested)

P90 | Module (Factory New)
M4A1-S | Chantico's Fire (Well-Worn)
StatTrak™ P250 | Valence (Field-Tested)
AWP | Pit Viper (Field-Tested)

USP-S | Cyrex (Battle-Scarred)
M4A1-S | VariCamo (Factory New)
AK-47 | Blue Laminate (Field-Tested)
StatTrak™ M4A1-S | Flashback (Well-Worn)
AK-47 | Elite Build (Battle-Scarred)

AK-47 | Safari Mesh (Field-Tested)
M4A1-S | VariCamo (Minimal Wear)
M4A1-S | Mecha Industries (Field-Tested)
AK-47 | Blue Laminate (Minimal Wear)
StatTrak™ USP-S | Cyrex (Factory New)
StatTrak™ M4A1-S | Flashback (Well-Worn)


SG 553 | Cyrex (Minimal Wear)
USP-S | Stainless (Factory New)
UMP-45 | Primal Saber (Field-Tested)
Glock-18 | Sand Dune (Minimal Wear)
AWP | Pink DDPAT (Well-Worn)
P2000 | Turf (Field-Tested)

Desert Eagle | Kumicho Dragon (Battle-Scarred)
StatTrak™ AK-47 | Frontside Misty (Minimal Wear)
StatTrak™ CZ75-Auto | Polymer (Minimal Wear)
AK-47 | Frontside Misty (Field-Tested)
★ Flip Knife | Case Hardened (Field-Tested)
USP-S | Cyrex (Field-Tested)
Tec-9 | Fuel Injector (Minimal Wear)
M4A1-S | Decimator (Minimal Wear)
StatTrak™ AWP | Worm God (Factory New)
M4A1-S | Flashback (Minimal Wear)
Desert Eagle | Oxide Blaze (Minimal Wear)
USP-S | Cyrex (Battle-Scarred)
StatTrak™ PP-Bizon | Photic Zone (Field-Tested)
M4A4 | Buzz Kill (Field-Tested)
AWP | Man-o'-war (Minimal Wear)
CZ75-Auto | Emerald (Factory New)
UMP-45 | Briefing (Minimal Wear)
AK-47 | Frontside Misty (Minimal Wear)
AWP | Pit Viper (Field-Tested)
AK-47 | Elite Build (Battle-Scarred)
StatTrak™ Glock-18 | Catacombs (Minimal Wear)
M4A4 | 龍王 (Dragon King) (Minimal Wear)
FAMAS | Valence (Factory New)
StatTrak™ P2000 | Turf (Field-Tested)

Souvenir MAC-10 | Candy Apple (Factory New)
AWP | Safari Mesh (Field-Tested)
M4A1-S | Golden Coil (Minimal Wear)
USP-S | Night Ops (Factory New)
M4A1-S | Nitro (Minimal Wear)
AWP | Corticera (Field-Tested)
Glock-18 | Grinder (Factory New)
M4A1-S | Chantico's Fire (Field-Tested)
AK-47 | Emerald Pinstripe (Field-Tested)
★ StatTrak™ Gut Knife | Doppler (Minimal Wear)
AWP | Pit Viper (Field-Tested)
AWP | Pink DDPAT (Field-Tested)
★ Karambit | Tiger Tooth (Factory New)
AWP | Pit Viper (Field-Tested)
AWP | Elite Build (Field-Tested)

AK-47 | Frontside Misty (Field-Tested)
M4A1-S | Nitro (Battle-Scarred)
Tec-9 | Ossified (Factory New)
AK-47 | Red Laminate (Well-Worn)
AK-47 | Elite Build (Field-Tested)
StatTrak™ P2000 | Pulse (Battle-Scarred)
AK-47 | Predator (Field-Tested)
M4A1-S | Decimator (Battle-Scarred)
UMP-45 | Blaze (Factory New)
AWP | Sun in Leo (Minimal Wear)
Galil AR | Blue Titanium (Factory New)
★ StatTrak™ Shadow Daggers | Forest DDPAT (Field-Tested)
AWP | Sun in Leo (Minimal Wear)
AK-47 | Fuel Injector (Battle-Scarred)
P2000 | Fire Elemental (Battle-Scarred)
Tec-9 | Re-Entry (Field-Tested)
M4A4 | Evil Daimyo (Minimal Wear)
AK-47 | Redline (Field-Tested)
AK-47 | Redline (Battle-Scarred)
AK-47 | Elite Build (Field-Tested)
MAC-10 | Ultraviolet (Minimal Wear)
USP-S | Night Ops (Well-Worn)
Desert Eagle | Oxide Blaze (Field-Tested)
USP-S | Cyrex (Factory New)
AWP | Sun in Leo (Factory New)
AWP | Safari Mesh (Field-Tested)
StatTrak™ Glock-18 | Blue Fissure (Field-Tested)
Desert Eagle | Night (Minimal Wear)
M4A1-S | Guardian (Factory New)
AK-47 | Vulcan (Field-Tested)
AK-47 | Redline (Well-Worn)
AWP | Phobos (Field-Tested)
CZ75-Auto | Pole Position (Field-Tested)
USP-S | Cyrex (Factory New)
M4A1-S | Mecha Industries (Field-Tested)
FAMAS | Spitfire (Field-Tested)
AK-47 | Fire Serpent (Minimal Wear)
USP-S | Night Ops (Battle-Scarred)
StatTrak™ AK-47 | Elite Build (Well-Worn)
Glock-18 | Water Elemental (Field-Tested)
M4A1-S | Guardian (Factory New)
M4A1-S | Blood Tiger (Factory New)
StatTrak™ MP9 | Rose Iron (Minimal Wear)
M4A1-S | Chantico's Fire (Minimal Wear)
StatTrak™ AK-47 | Case Hardened (Minimal Wear)

AK-47 | Redline (Field-Tested)
AK-47 | Predator (Field-Tested)
AWP | Asiimov (Battle-Scarred)
StatTrak™ P250 | Wingshot (Field-Tested)
StatTrak™ AWP | Worm God (Minimal Wear)
P90 | Module (Field-Tested)
AWP | Pit Viper (Field-Tested)
Tec-9 | Hades (Factory New)
AWP | Worm God (Field-Tested)

Desert Eagle | Naga (Field-Tested)
StatTrak™ Glock-18 | Ironwork (Factory New)
AK-47 | Black Laminate (Battle-Scarred)
StatTrak™ AK-47 | Redline (Field-Tested)
Glock-18 | Night (Field-Tested)
M4A4 | The Battlestar (Minimal Wear)
AK-47 | Elite Build (Minimal Wear)
USP-S | Royal Blue (Minimal Wear)
AK-47 | Neon Revolution (Factory New)
AUG | Torque (Minimal Wear)
StatTrak™ AK-47 | Frontside Misty (Factory New)
AWP | Sun in Leo (Factory New)
Desert Eagle | Conspiracy (Factory New)
★ M9 Bayonet | Tiger Tooth (Factory New)
AK-47 | Frontside Misty (Field-Tested)
AK-47 | Blue Laminate (Minimal Wear)
USP-S | Cyrex (Factory New)
Glock-18 | Grinder (Minimal Wear)
Five-SeveN | Hot Shot (Factory New)
Desert Eagle | Oxide Blaze (Well-Worn)
P250 | Gunsmoke (Minimal Wear)
Galil AR | Eco (Field-Tested)
AWP | Worm God (Minimal Wear)
M4A1-S | VariCamo (Well-Worn)
AWP | Man-o'-war (Minimal Wear)
M4A1-S | Cyrex (Minimal Wear)
★ StatTrak™ Bayonet | Bright Water (Minimal Wear)
AWP | Safari Mesh (Field-Tested)
AK-47 | Elite Build (Well-Worn)
AK-47 | Black Laminate (Field-Tested)
M4A1-S | Guardian (Factory New)
USP-S | Royal Blue (Minimal Wear)
MAC-10 | Candy Apple (Factory New)
USP-S | Blood Tiger (Minimal Wear)
AWP | Pit Viper (Minimal Wear)
M4A4 | 龍王 (Dragon King) (Field-Tested)
Desert Eagle | Midnight Storm (Field-Tested)
M4A1-S | Atomic Alloy (Factory New)
Tec-9 | Ice Cap (Well-Worn)
M4A1-S | Cyrex (Field-Tested)
StatTrak™ M4A4 | Zirka (Minimal Wear)
P250 | Sand Dune (Minimal Wear)
M4A1-S | VariCamo (Minimal Wear)
AWP | Safari Mesh (Well-Worn)
StatTrak™ M4A4 | Desolate Space (Well-Worn)
UMP-45 | Primal Saber (Factory New)
StatTrak™ Five-SeveN | Kami (Factory New)
USP-S | Night Ops (Field-Tested)
StatTrak™ FAMAS | Neural Net (Factory New)
AK-47 | Emerald Pinstripe (Well-Worn)
M4A4 | Buzz Kill (Factory New)
Desert Eagle | Oxide Blaze (Minimal Wear)
StatTrak™ M4A4 | Faded Zebra (Minimal Wear)
Five-SeveN | Monkey Business (Field-Tested)
Desert Eagle | Conspiracy (Factory New)
USP-S | Neo-Noir (Field-Tested)
M4A1-S | Decimator (Battle-Scarred)
P250 | Crimson Kimono (Minimal Wear)
Dual Berettas | Panther (Factory New)
USP-S | Cyrex (Field-Tested)
StatTrak™ P2000 | Pulse (Minimal Wear)
Nova | Graphite (Factory New)
AWP | Safari Mesh (Minimal Wear)
AWP | Pit Viper (Field-Tested)
Nova | Gila (Minimal Wear)
M4A1-S | Decimator (Battle-Scarred)
CZ75-Auto | Emerald (Minimal Wear)
StatTrak™ M4A4 | Faded Zebra (Field-Tested)
P250 | Ripple (Field-Tested)
AK-47 | Elite Build (Well-Worn)
AWP | Phobos (Field-Tested)
Glock-18 | Reactor (Minimal Wear)
M4A4 | 龍王 (Dragon King) (Field-Tested)
AWP | Worm God (Minimal Wear)
Desert Eagle | Conspiracy (Minimal Wear)
StatTrak™ MAG-7 | Sonar (Field-Tested)
Desert Eagle | Oxide Blaze (Battle-Scarred)
AK-47 | Cartel (Minimal Wear)
AK-47 | Elite Build (Minimal Wear)
M4A1-S | Boreal Forest (Field-Tested)
AK-47 | Redline (Minimal Wear)

★ Shadow Daggers | Rust Coat (Battle-Scarred)
SSG 08 | Necropos (Well-Worn)
AWP | Redline (Field-Tested)
StatTrak™ M4A1-S | Hyper Beast (Well-Worn)
StatTrak™ Desert Eagle | Directive (Battle-Scarred)
StatTrak™ Tec-9 | Fuel Injector (Battle-Scarred)
AWP | Safari Mesh (Well-Worn)
AWP | Phobos (Minimal Wear)
Desert Eagle | Bronze Deco (Minimal Wear)
★ Shadow Daggers
M4A1-S | Chantico's Fire (Field-Tested)
AK-47 | Safari Mesh (Minimal Wear)
Glock-18 | Candy Apple (Minimal Wear)
★ Gut Knife | Damascus Steel (Field-Tested)
AK-47 | Elite Build (Well-Worn)
★ Karambit | Stained (Field-Tested)
AK-47 | Frontside Misty (Factory New)
StatTrak™ Five-SeveN | Urban Hazard (Factory New)
Desert Eagle | Oxide Blaze (Minimal Wear)
AWP | Corticera (Minimal Wear)
Glock-18 | Candy Apple (Minimal Wear)
Glock-18 | Water Elemental (Field-Tested)
AWP | Hyper Beast (Battle-Scarred)
★ StatTrak™ Karambit | Gamma Doppler (Factory New)
AK-47 | Safari Mesh (Field-Tested)
AK-47 | Red Laminate (Field-Tested)
Five-SeveN | Capillary (Field-Tested)
AK-47 | Blue Laminate (Minimal Wear)
AWP | Man-o'-war (Field-Tested)
M4A1-S | Master Piece (Well-Worn)
AK-47 | Cartel (Field-Tested)
AWP | Worm God (Factory New)
USP-S | Dark Water (Field-Tested)
USP-S | Kill Confirmed (Well-Worn)
StatTrak™ Tec-9 | Ice Cap (Factory New)
M4A1-S | Nitro (Minimal Wear)
AWP | Phobos (Minimal Wear)
StatTrak™ Glock-18 | Royal Legion (Minimal Wear)
AK-47 | Elite Build (Field-Tested)
USP-S | Torque (Factory New)
AWP | Electric Hive (Minimal Wear)
AWP | Safari Mesh (Field-Tested)
StatTrak™ USP-S | Stainless (Battle-Scarred)
AWP | Man-o'-war (Field-Tested)
M4A1-S | Basilisk (Minimal Wear)

P250 | Steel Disruption (Factory New)
Desert Eagle | Oxide Blaze (Minimal Wear)
M4A1-S | Cyrex (Minimal Wear)
Desert Eagle | Directive (Field-Tested)
P250 | Supernova (Factory New)
Glock-18 | Candy Apple (Factory New)

AWP | Safari Mesh (Minimal Wear)


Five-SeveN | Urban Hazard (Field-Tested)
StatTrak™ USP-S | Guardian (Field-Tested)
M4A1-S | Guardian (Minimal Wear)
★ StatTrak™ Gut Knife | Urban Masked (Minimal Wear)

Negev | Man-o'-war (Minimal Wear)
M4A1-S | Nitro (Well-Worn)
StatTrak™ SSG 08 | Dark Water (Field-Tested)
M4A1-S | Nitro (Minimal Wear)
StatTrak™ AK-47 | Blue Laminate (Well-Worn)
Glock-18 | Candy Apple (Minimal Wear)
AK-47 | Blue Laminate (Factory New)
P250 | Supernova (Factory New)
P2000 | Grassland (Minimal Wear)
M4A1-S | Basilisk (Minimal Wear)

M4A1-S | VariCamo (Factory New)
Five-SeveN | Violent Daimyo (Field-Tested)
Souvenir Desert Eagle | Urban DDPAT (Battle-Scarred)
AK-47 | Frontside Misty (Field-Tested)
AWP | Pit Viper (Field-Tested)
Desert Eagle | Midnight Storm (Field-Tested)
StatTrak™ Desert Eagle | Bronze Deco (Field-Tested)
Five-SeveN | Monkey Business (Battle-Scarred)
StatTrak™ AK-47 | Blue Laminate (Minimal Wear)
USP-S | Caiman (Minimal Wear)
AK-47 | Blue Laminate (Minimal Wear)
StatTrak™ M4A4 | Desolate Space (Field-Tested)
AWP | Graphite (Factory New)
M4A1-S | Flashback (Minimal Wear)
M4A4 | Desolate Space (Battle-Scarred)

Glock-18 | Weasel (Field-Tested)

Desert Eagle | Oxide Blaze (Battle-Scarred)
P2000 | Oceanic (Field-Tested)
P90 | Sand Spray (Field-Tested)
P250 | Valence (Minimal Wear)
AUG | Aristocrat (Well-Worn)
AWP | Pit Viper (Field-Tested)
USP-S | Torque (Field-Tested)
MAG-7 | Sonar (Factory New)

AK-47 | Elite Build (Battle-Scarred)
MAC-10 | Neon Rider (Minimal Wear)
SG 553 | Atlas (Factory New)
StatTrak™ M4A1-S | Basilisk (Field-Tested)
P250 | Cartel (Minimal Wear)
M4A1-S | Nitro (Minimal Wear)
M4A4 | Jungle Tiger (Field-Tested)
SG 553 | Tiger Moth (Battle-Scarred)
AK-47 | Aquamarine Revenge (Well-Worn)

AWP | Pit Viper (Field-Tested)
StatTrak™ Five-SeveN | Urban Hazard (Factory New)
AWP | Sun in Leo (Minimal Wear)
StatTrak™ AK-47 | Point Disarray (Battle-Scarred)
Desert Eagle | Cobalt Disruption (Minimal Wear)
M4A4 | Royal Paladin (Battle-Scarred)
Tec-9 | Hades (Minimal Wear)
StatTrak™ SSG 08 | Slashed (Field-Tested)
Glock-18 | Bunsen Burner (Field-Tested)
PP-Bizon | Photic Zone (Field-Tested)
★ Bayonet | Autotronic (Minimal Wear)
AK-47 | Redline (Field-Tested)
Glock-18 | Candy Apple (Factory New)
AK-47 | Emerald Pinstripe (Battle-Scarred)
StatTrak™ USP-S | Guardian (Field-Tested)
AWP | Pink DDPAT (Field-Tested)
SSG 08 | Slashed (Well-Worn)
PP-Bizon | Brass (Factory New)
FAMAS | Valence (Factory New)
USP-S | Royal Blue (Field-Tested)
M4A1-S | Guardian (Factory New)
AWP | Medusa (Field-Tested)
AK-47 | Redline (Field-Tested)
AK-47 | Blue Laminate (Field-Tested)
AWP | Phobos (Minimal Wear)
FAMAS | Mecha Industries (Well-Worn)
StatTrak™ P250 | Wingshot (Field-Tested)
M4A1-S | Basilisk (Minimal Wear)
P90 | Grim (Battle-Scarred)
AK-47 | Vulcan (Battle-Scarred)
StatTrak™ M4A1-S | Atomic Alloy (Field-Tested)
M4A1-S | Master Piece (Well-Worn)
M4A1-S | Guardian (Factory New)
StatTrak™ MP9 | Airlock (Field-Tested)
Desert Eagle | Conspiracy (Factory New)
AK-47 | Predator (Well-Worn)
M4A1-S | Hot Rod (Factory New)
M4A4 | 龍王 (Dragon King) (Minimal Wear)
StatTrak™ AWP | Worm God (Field-Tested)
AWP | Phobos (Minimal Wear)
AWP | Pit Viper (Field-Tested)
AWP | Safari Mesh (Battle-Scarred)
StatTrak™ R8 Revolver | Crimson Web (Minimal Wear)
★ Flip Knife | Doppler (Minimal Wear)
USP-S | Torque (Minimal Wear)

AK-47 | Aquamarine Revenge (Field-Tested)
AK-47 | Jaguar (Minimal Wear)
StatTrak™ USP-S | Lead Conduit (Field-Tested)
AWP | Sun in Leo (Minimal Wear)
AK-47 | Cartel (Field-Tested)
Desert Eagle | Naga (Well-Worn)
Tec-9 | Red Quartz (Factory New)
AK-47 | Redline (Battle-Scarred)
★ Flip Knife | Urban Masked (Battle-Scarred)
MP7 | Skulls (Minimal Wear)
★ M9 Bayonet | Rust Coat (Battle-Scarred)
M4A1-S | Bright Water (Minimal Wear)
AK-47 | Redline (Field-Tested)
P250 | Whiteout (Field-Tested)
StatTrak™ M4A1-S | Guardian (Well-Worn)

Desert Eagle | Heirloom (Field-Tested)
StatTrak™ P90 | Cold Blooded (Factory New)

M4A1-S | Blood Tiger (Minimal Wear)
StatTrak™ CZ75-Auto | Pole Position (Field-Tested)
StatTrak™ AK-47 | Fuel Injector (Battle-Scarred)
Glock-18 | Candy Apple (Minimal Wear)
